,COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Recentness data (average years),Countries in HVC = _NO,Countries in HVC = _YES
52,Egypt,EGY,4.9,High,37.0,-147.9,6.5,6.1,4.6,9.9,5.9,0.0,9.0,0.0,3.2,6.9,9.9,0.0,3.9,3.5,4.1,3.8,1.8,4.2,6.4,0.2,1.6,0.0,1.5,0.9,4.6,5.4,4.2,6.5,3.6,3.3,3.2,4.3,2.0,0.04,-27.83,1,0
53,El Salvador,SLV,4.0,Medium,73.0,-151.1,3.5,5.6,9.2,3.5,7.6,1.3,4.3,3.2,5.4,0.7,1.0,0.0,4.1,4.5,5.1,4.3,3.6,3.7,5.6,1.1,1.1,0.1,2.4,1.2,4.3,5.7,5.2,6.2,2.5,1.8,2.4,3.4,4.0,0.08,-28.54,1,0
54,Equatorial Guinea,GNQ,3.1,Low,104.0,-158.4,1.3,2.3,0.1,2.0,0.0,0.0,1.9,3.3,6.4,0.1,0.2,0.0,3.3,4.1,6.1,3.8670329670329675,0.1,2.5,0.0,6.2,3.6,0.0,6.1,4.4,7.0,7.8,4.227814569536424,7.8,6.0,4.3,6.6,7.1,10.0,0.2,-30.2,1,0
55,Eritrea,ERI,6.0,High,24.0,-164.3,7.0,3.1,3.5,1.3,0.0,0.0,4.0,4.4,6.3,9.0,0.5,9.0,4.1,5.7,8.2,3.8670329670329675,0.8,2.1,0.0,1.0,5.9,0.0,6.2,3.8,7.7,8.1,4.227814569536424,8.1,7.3,6.2,9.7,6.1,11.0,0.22,-31.35,0,1
56,Estonia,EST,1.6,Very Low,179.0,-165.1,0.8,1.5,0.1,5.5,0.0,0.0,2.1,0.0,1.4,0.0,0.0,0.0,3.5,0.5,0.2,1.4,0.2,5.6,8.2,0.5,0.2,0.0,1.6,0.6,1.5,2.4,4.227814569536424,2.4,0.6,0.9,0.1,0.9,10.0,0.2,-31.46,1,0
57,Eswatini,SWZ,3.3,Medium,94.0,-144.1,1.5,1.8,0.1,1.8,0.0,0.2,0.0,4.8,3.9,1.2,1.7,0.0,4.5,5.8,6.6,7.3,2.5,2.8,2.4,5.0,2.7,0.0,3.9,3.1,5.3,5.6,4.4,6.8,4.9,3.0,5.2,6.4,0.0,0.0,-27.01,1,0
58,Ethiopia,ETH,7.0,Very High,12.0,-142.8,7.2,3.7,4.6,5.1,0.0,0.0,0.0,4.8,7.4,9.0,10.0,9.0,7.2,6.1,8.9,4.7,1.9,8.0,8.9,2.8,4.2,10.0,5.4,6.7,6.7,4.6,2.9,6.2,8.1,7.1,9.8,7.4,0.0,0.0,-26.78,0,1
59,Fiji,FJI,2.9,Low,116.0,-156.1,2.8,4.9,3.1,0.0,7.1,6.9,7.1,3.1,3.6,0.0,0.0,0.0,3.2,4.2,3.1,2.8,7.7,2.0,0.0,4.0,1.6,5.9,2.3,3.6,2.7,2.2,0.1,4.3,3.1,1.8,3.1,4.3,6.0,0.12,-29.57,1,0
60,Finland,FIN,1.5,Very Low,182.0,-170.4,1.3,2.3,0.1,6.2,0.0,0.0,5.3,0.6,1.3,0.1,0.1,0.0,2.2,0.2,0.0,0.5,0.1,3.9,6.2,0.1,0.2,0.0,1.2,0.4,1.3,1.7,2.2,1.2,0.8,1.4,0.5,0.5,12.0,0.24,-32.54,1,0
61,France,FRA,2.4,Low,143.0,-165.8,2.3,3.9,2.8,7.5,2.5,0.0,7.4,1.5,1.6,0.4,0.6,0.0,3.0,0.4,0.0,1.3,0.2,5.0,7.6,0.2,0.3,0.1,0.6,0.3,1.9,2.8,2.9,2.7,1.0,2.0,0.1,0.8,10.0,0.2,-31.59,1,0
62,Gabon,GAB,3.2,Medium,97.0,-151.3,1.7,3.1,0.1,5.6,0.0,0.0,5.1,0.6,6.6,0.1,0.1,0.0,3.4,4.2,5.5,5.3,0.6,2.6,1.0,6.1,2.2,0.1,5.8,4.0,5.9,6.8,6.7,6.9,4.8,2.5,6.1,5.9,4.0,0.08,-28.57,1,0
